SourceId,TargetId,Weight
38106,38107,2
38107,38108,2
38108,38109,2
38109,38110,2
38110,38111,2
38111,38112,2
38112,38113,2
38113,38114,2
38114,38115,2
38115,38116,2
38116,38117,2
38117,38118,2
38118,38119,2
38119,38120,2
38120,38121,2
38121,38122,2
38122,38123,2
38160,38161,137
38161,38162,137
38162,38163,137
38163,38164,137
38164,38165,137
38165,38166,137
38166,38167,137
38167,38168,137
38168,38169,137
38169,38170,137
38170,38171,137
38171,38172,137
38172,38173,137
38173,38174,137
38174,38175,137
38175,38176,137
38176,38177,137
38178,38179,26
38179,38180,26
38180,38181,26
38181,38182,26
38182,38183,26
38183,38184,26
38184,38185,26
38185,38186,26
38186,38187,26
38187,38188,26
38188,38189,26
38189,38190,26
38190,38191,26
38191,38192,26
38192,38193,26
38193,38194,26
38194,38195,26
38196,38197,16
38197,38198,16
38198,38199,16
38199,38200,16
38200,38201,16
38201,38202,16
38202,38203,16
38203,38204,16
38204,38205,16
38205,38206,16
38206,38207,16
38207,38208,16
38208,38209,16
38209,38210,16
38210,38211,16
38211,38212,16
38212,38213,16
38250,38251,1
38251,38252,1
38252,38253,1
38253,38254,1
38254,38255,1
38255,38256,1
38256,38257,1
38257,38258,1
38258,38259,1
38259,38260,1
38260,38261,1
38261,38262,1
38262,38263,1
38263,38264,1
38264,38265,1
38265,38266,1
38266,38267,1
38286,38287,1
38287,38288,1
38288,38289,1
38289,38290,1
38290,38291,1
38291,38292,1
38292,38293,1
38293,38294,1
38294,38295,1
38295,38296,1
38296,38297,1
38297,38298,1
38298,38299,1
38299,38300,1
38300,38301,1
38301,38302,1
38302,38303,1
38358,38359,2
38359,38360,2
38360,38361,2
38361,38362,2
38362,38363,2
38363,38364,2
38364,38365,2
38365,38366,2
38366,38367,2
38367,38368,2
38368,38369,2
38369,38370,2
38370,38371,2
38371,38372,2
38372,38373,2
38373,38374,2
38374,38375,2
